DOI	Date	Title	Authors	Container
10.51952/9781447370000.fm002	[[2024, 9, 10]]	Foreword	Jason Arday; Wayne A. Mitchell	The Black PhD Experience
10.1515/9780691263946	[[2025, 10, 1]]	We See Things They’ll Never See	Chantelle Jessica Lewis; Jason Arday	
10.46692/9781447370000.001	[[2024, 9, 10]]	Foreword	Jason Arday; Wayne A. Mitchell	The Black PhD Experience
10.56687/9781447370000-004	[[2024, 9, 10]]	Foreword	Jason Arday; Wayne A. Mitchell	The Black PhD Experience
10.2307/jj.26932075.3	[[2025, 9, 16]]	FOREWORD	Chantelle Jessica Lewis; Jason Arday	We See Things They’ll Never See
10.1080/01596306.2024.2335002	[[2024, 5, 3]]	Elite schools and slavery in the UK – capital, violence and extractivism	Sol Gamsu; Stephen Ashe; Jason Arday	Discourse: Studies in the Cultural Politics of Education
10.2307/jj.26932075	[[2025, 9, 16]]	We See Things They’ll Never See	CHANTELLE JESSICA LEWIS; JASON ARDAY	
10.2307/jj.12348180.6	[[2024, 9, 10]]	Foreword	Jason Arday; Wayne A. Mitchell	The Black PhD Experience
10.1002/berj.4047	[[2024, 7, 4]]	Data snapshots of the access and participation of ‘women’ academics in <scp>UK</scp> universities: Questioning continued gendered, racialised and geopolitical inequalities	Dina Zoe Belluigi; Jason Arday; Joanne O'Keeffe	British Educational Research Journal
10.1080/13613324.2024.2398491	[[2024, 9, 10]]	The routes to intellectual authority in a prior colonial empire: continued racialised, geopolitical inequalities in the academic staff composition and employment conditions of UK universities	Dina Zoe Belluigi; Jason Arday; Joanne O’Keeffe	Race Ethnicity and Education
10.61409/v11250944	[[2026, 6, 8]]	Foreign body granulomas in the lungs after several years of parenteral nutrition	Tine Overgaard Andersen; Anna Arday	Ugeskrift for Læger
10.55606/jcsr-politama.v4i4.6575	[[2026, 8, 3]]	Pengaruh Adopsi Blockchain, Kompetensi SDM, dan Regulasi Pemerintah terhadap Transparansi Laporan Keuangan Perusahaan Publik di Indonesia	Arday Budaya; Hana Dhayan; Gita Desyana	Journal of Creative Student Research
10.61409/v12251052	[[2026, 6, 1]]	Fallopian tube in colonic anastomosis after sigmoid resection	Tina Prangsgaard Møller; Anne-Marie Skau; Anna Arday; Rolf Holving Nielsen	Ugeskrift for Læger
10.1016/j.ajog.2025.06.015	[[2025, 11]]	Risk of endometrial cancer after insufficient endometrial biopsy: a retrospective cohort study	Chanella Vang; Kristine Juul Hare; Anna Arday; Reza Rafiolsadat Serizawa; Jeppe Bennekou Schroll	American Journal of Obstetrics and Gynecology
10.1136/bmjopen-2024-098223	[[2025, 11]]	Exploring experiences of mental health challenges in under-represented young people (aged 16–24 years) in England: a narrative inquiry protocol	Rebecca Syed Sheriff; Jason Arday; Rohit Shankar; Roisin Mooney; Louise Chandler; Helen Adams; Lili Z Nagy; Roger Farrell; Daisy Fancourt; Scott Weich; Catherine Henderson; Shaima Hassan; Joe Langley; Kamaldeep Bhui	BMJ Open
10.31234/osf.io/h8ezv_v2	[[2026, 1, 23]]	Understanding the experiences related to mental health amongst 16 – 24 year olds who feel under represented; a narrative inquiry study	Roisin Mooney; Roger Farrell; Louise Chandler; Lili Z Nagy; Natalie Bisal; Ophelie Morrey; Alison Nicholls; Rosie Mansfield; Robin Carpente; Helen Adams; Rebecca Sheriff; Rohit shankar; Jason Arday; Kamaldeep Bhui	
10.1080/15555240.2024.2356795	[[2024, 7, 16]]	Implementing a virtual reality-based intervention to support the wellbeing of mental health staff in the workplace: A mixed-methods pilot study	Simon Riches; Uma Bartlett; Zoe Bird; Grace Williams; Sarah L. Nicholson; Helen Winter; Clair Pollard; Isobel Arday	Journal of Workplace Behavioral Health
10.31234/osf.io/h8ezv_v1	[[2026, 1, 21]]	Understanding the experiences related to mental health amongst 16 – 24 year olds who feel under represented; a narrative inquiry study	Roisin Mooney; Roger Farrell; Louise Chandler; Lili Z Nagy; Natalie Bisal; Ophelie Morrey; Alison Nicholls; Rosie Mansfield; Robin Carpente; Helen Adams; Rebecca Sheriff; Rohit shankar; Jason Arday; Kamaldeep Bhui	
10.1136/bmjopen-2024-084121	[[2024, 2]]	Experience-based Investigation and Co-design of Psychosis Centred Integrated Care Services for Ethnically Diverse People with Multimorbidity (CoPICS): study protocol	Kamaldeep Bhui; Doreen Joseph; Nimra Khan; Tara Morrey; Roisin Mooney; Uzma Zahid; Tanya Mackay; Michael Larkin; Frank Keating; Paul McCrone; Rachel Upthegrove; Sian Lowri Griffiths; Dawn Edge; Peter A Coventry; Jason Arday; Georgina M Hosang	BMJ Open
